0,1,2,3,4,output_0,output_1,output_2,output_3,output_4,exec_time(s),avg_cpu_util(%),core_load(%)
13,2,4,15,3,0,20,19,1,2,43704.78933,17.62,0.0625
15,16,6,13,5,0,20,19,1,2,43704.78933,17.62,0.0625
18,15,11,2,5,0,20,1,2,3,43704.78933,17.62,0.0625
17,13,1,8,19,0,20,1,2,19,43704.78933,17.62,0.0625
15,3,1,11,2,0,20,19,18,17,43704.78933,17.62,0.0625
18,0,14,4,13,20,0,1,19,18,43704.78933,17.62,0.0625
8,17,16,0,14,20,0,1,19,18,43704.78933,17.62,0.0625
15,10,3,12,6,0,1,20,19,18,43704.78933,17.62,0.0625
15,7,17,12,2,0,20,1,2,3,43704.78933,17.62,0.0625
8,0,1,14,12,0,1,20,19,18,43704.78933,17.62,0.0625
13,17,9,8,15,20,0,19,18,17,43704.78933,17.62,0.0625
1,10,0,5,14,0,1,20,19,18,43704.78933,17.62,0.0625
18,14,17,5,11,20,19,0,18,17,43704.78933,17.62,0.0625
4,10,2,7,13,20,0,1,19,18,43704.78933,17.62,0.0625
11,2,10,12,1,20,19,18,17,16,43704.78933,17.62,0.0625
13,17,16,4,15,0,20,19,1,2,43704.78933,17.62,0.0625
12,6,17,0,18,0,1,2,3,4,43704.78933,17.62,0.0625
9,2,3,8,7,20,19,0,18,17,43704.78933,17.62,0.0625
6,16,8,13,14,20,0,19,18,17,43704.78933,17.62,0.0625
0,4,15,11,7,20,19,0,1,2,43704.78933,17.62,0.0625
5,19,10,1,4,0,20,19,18,1,43704.78933,17.62,0.0625
7,15,10,9,4,20,0,1,2,19,43704.78933,17.62,0.0625
11,13,19,7,14,20,19,18,17,16,43704.78933,17.62,0.0625
6,0,13,14,5,0,20,19,1,18,43704.78933,17.62,0.0625
4,6,1,17,11,20,19,0,1,2,43704.78933,17.62,0.0625
1,0,3,14,11,20,19,18,0,1,43704.78933,17.62,0.0625
16,13,1,8,0,0,20,1,2,3,43704.78933,17.62,0.0625
17,4,10,5,14,0,1,2,20,19,43704.78933,17.62,0.0625
0,5,13,9,17,20,19,0,1,2,43704.78933,17.62,0.0625
16,18,19,12,11,20,19,0,1,2,43704.78933,17.62,0.0625
0,1,15,14,3,20,0,1,19,18,43704.78933,17.62,0.0625
2,1,6,11,17,20,19,0,1,18,43704.78933,17.62,0.0625
12,2,7,3,9,20,19,0,18,17,43704.78933,17.62,0.0625
4,3,10,11,6,20,19,0,18,17,43704.78933,17.62,0.0625
5,11,14,4,8,0,1,20,19,2,43704.78933,17.62,0.0625
9,6,1,17,15,0,1,2,3,4,43704.78933,17.62,0.0625
15,12,9,4,2,0,1,20,19,18,43704.78933,17.62,0.0625
2,8,10,0,15,0,1,2,3,20,43704.78933,17.62,0.0625
17,2,18,14,6,0,20,19,18,1,43704.78933,17.62,0.0625
5,7,1,12,13,20,19,0,1,18,43704.78933,17.62,0.0625
10,9,5,0,7,0,1,20,2,19,43704.78933,17.62,0.0625
7,3,6,0,10,20,19,18,0,1,43704.78933,17.62,0.0625
10,9,14,8,15,20,19,0,1,18,43704.78933,17.62,0.0625
3,19,16,14,11,20,0,19,18,17,43704.78933,17.62,0.0625
6,7,15,3,18,20,19,18,17,16,43704.78933,17.62,0.0625
10,18,19,11,2,20,19,0,1,2,43704.78933,17.62,0.0625
2,17,5,11,4,0,1,2,3,4,43704.78933,17.62,0.0625
10,0,15,4,6,0,20,19,1,18,43704.78933,17.62,0.0625
8,1,2,5,7,20,19,18,0,1,43704.78933,17.62,0.0625
5,16,19,15,12,20,19,18,17,16,43704.78933,17.62,0.0625
13,15,3,6,14,0,1,2,20,19,43704.78933,17.62,0.0625
12,1,0,16,7,20,0,19,18,1,43704.78933,17.62,0.0625
2,8,11,7,17,20,19,0,18,17,43704.78933,17.62,0.0625
10,5,2,11,3,0,20,19,18,17,43704.78933,17.62,0.0625
18,7,4,11,15,0,20,1,2,3,43704.78933,17.62,0.0625
0,15,17,7,18,0,1,20,2,19,43704.78933,17.62,0.0625
14,16,15,19,4,0,20,1,2,19,43704.78933,17.62,0.0625
0,8,17,14,10,0,20,19,1,2,43704.78933,17.62,0.0625
1,5,14,15,9,0,1,2,3,4,43704.78933,17.62,0.0625
12,15,8,9,16,0,1,20,2,19,43704.78933,17.62,0.0625
16,18,5,9,4,20,19,18,0,1,43704.78933,17.62,0.0625
6,10,7,0,2,20,0,19,1,18,43704.78933,17.62,0.0625
6,4,3,7,5,20,19,0,1,2,43704.78933,17.62,0.0625
11,4,10,16,18,0,20,19,1,2,43704.78933,17.62,0.0625
