0,1,2,3,4,output_0,output_1,output_2,output_3,output_4,exec_time(s),avg_cpu_util(%),core_load(%)
6,4,7,0,15,0,1,2,3,7,1623746.343,16.98,0.03125
11,1,7,6,2,0,7,2,6,20,1623746.343,16.98,0.03125
1,9,16,3,15,19,3,8,7,4,1623746.343,16.98,0.03125
6,9,4,11,13,0,2,5,1,3,1623746.343,16.98,0.03125
8,12,5,14,15,0,3,9,20,18,1623746.343,16.98,0.03125
19,10,3,4,15,15,9,3,20,4,1623746.343,16.98,0.03125
7,6,12,17,11,0,9,1,19,17,1623746.343,16.98,0.03125
17,7,6,9,8,0,13,3,4,8,1623746.343,16.98,0.03125
5,8,15,14,6,0,3,2,4,8,1623746.343,16.98,0.03125
7,5,4,13,8,0,3,1,19,8,1623746.343,16.98,0.03125
14,4,3,6,5,14,8,3,20,0,1623746.343,16.98,0.03125
12,14,19,8,17,0,1,2,3,7,1623746.343,16.98,0.03125
15,12,18,6,4,0,3,4,13,9,1623746.343,16.98,0.03125
17,3,13,15,9,14,9,3,6,19,1623746.343,16.98,0.03125
0,18,1,4,16,19,3,6,7,4,1623746.343,16.98,0.03125
4,8,15,17,5,0,13,2,3,7,1623746.343,16.98,0.03125
15,0,5,9,16,0,7,2,6,20,1623746.343,16.98,0.03125
19,6,15,14,16,14,6,7,20,3,1623746.343,16.98,0.03125
11,1,10,14,9,14,9,1,20,0,1623746.343,16.98,0.03125
2,10,14,16,6,15,9,3,20,5,1623746.343,16.98,0.03125
5,4,11,17,2,0,6,3,2,13,1623746.343,16.98,0.03125
2,6,12,1,16,15,9,1,20,4,1623746.343,16.98,0.03125
19,5,2,4,17,0,3,4,2,13,1623746.343,16.98,0.03125
